Grupos de 5,Alvos,Próximo Número,Resultado,Tipo de Green
"19, 31, 25, 33, 0","4, 19",25,Green,+3 Vizinhos
"31, 25, 33, 0, 25","4, 19",18,Red,Red
"25, 33, 0, 25, 18","4, 19",20,Red,Red
"33, 0, 25, 18, 20","14, 31",29,Red,Red
"0, 25, 18, 20, 29","12, 9",16,Red,Red
"25, 18, 20, 29, 16","9, 14",4,Red,Red
"18, 20, 29, 16, 4","9, 14",22,Green,+1 Vizinho
"20, 29, 16, 4, 22","9, 14",11,Red,Red
"29, 16, 4, 22, 11","7, 9",16,Green,+3 Vizinhos
"16, 4, 22, 11, 16","10, 14",31,Green,+1 Vizinho
"4, 22, 11, 16, 31","14, 20",33,Green,+3 Vizinhos
"22, 11, 16, 31, 33","14, 20",8,Red,Red
"11, 16, 31, 33, 8",10,27,Red,Red
"16, 31, 33, 8, 27","33, 1",22,Green,+3 Vizinhos
"31, 33, 8, 27, 22","14, 20",24,Red,Red
"33, 8, 27, 22, 24","5, 10",30,Green,+3 Vizinhos
"8, 27, 22, 24, 30","36, 5",31,Red,Red
"27, 22, 24, 30, 31",20,31,Green,+2 Vizinhos
"22, 24, 30, 31, 31",20,35,Red,Red
"24, 30, 31, 31, 35","33, 1",33,Green,Alvo Direto
"30, 31, 31, 35, 33","33, 1",17,Red,Red
"31, 31, 35, 33, 17","33, 1",22,Green,+3 Vizinhos
"31, 35, 33, 17, 22","14, 20",30,Red,Red
"35, 33, 17, 22, 30","7, 28",23,Green,+2 Vizinhos
"33, 17, 22, 30, 23","5, 10",35,Red,Red
"17, 22, 30, 23, 35","13, 27",20,Red,Red
"22, 30, 23, 35, 20","7, 9",2,Red,Red
"30, 23, 35, 20, 2","36, 5",5,Green,Alvo Direto
"23, 35, 20, 2, 5","16, 24",9,Red,Red
"35, 20, 2, 5, 9",1,1,Green,Alvo Direto
"20, 2, 5, 9, 1",1,27,Red,Red
"2, 5, 9, 1, 27",1,13,Red,Red
"5, 9, 1, 27, 13","1, 30",34,Red,Red
"9, 1, 27, 13, 34","34, 36",17,Green,+1 Vizinho
"1, 27, 13, 34, 17","34, 6",6,Green,+1 Vizinho
"27, 13, 34, 17, 6","34, 6",24,Red,Red
"13, 34, 17, 6, 24","34, 6",8,Red,Red
"34, 17, 6, 24, 8",13,12,Red,Red
"17, 6, 24, 8, 12",13,33,Red,Red
"6, 24, 8, 12, 33","5, 10",19,Red,Red
"24, 8, 12, 33, 19","5, 10",26,Red,Red
"8, 12, 33, 19, 26","0, 26",13,Red,Red
"12, 33, 19, 26, 13","0, 26",33,Red,Red
"33, 19, 26, 13, 33","33, 1",10,Green,+1 Vizinho
"19, 26, 13, 33, 10","0, 32",23,Green,+1 Vizinho
"26, 13, 33, 10, 23","8, 11",20,Green,+3 Vizinhos
"13, 33, 10, 23, 20","16, 24",18,Red,Red
"33, 10, 23, 20, 18","16, 24",26,Red,Red
"10, 23, 20, 18, 26","16, 24",10,Green,+3 Vizinhos
"23, 20, 18, 26, 10","16, 24",30,Red,Red
"20, 18, 26, 10, 30","33, 9",22,Green,+1 Vizinho
"18, 26, 10, 30, 22",28,33,Red,Red
"26, 10, 30, 22, 33","5, 10",14,Red,Red
"10, 30, 22, 33, 14","33, 5",16,Green,+1 Vizinho
"30, 22, 33, 14, 16","14, 20",17,Red,Red
"22, 33, 14, 16, 17","14, 20",0,Red,Red
"33, 14, 16, 17, 0","33, 1",3,Red,Red
"14, 16, 17, 0, 3","33, 1",28,Green,+3 Vizinhos
"16, 17, 0, 3, 28","3, 35",12,Green,+2 Vizinhos
"17, 0, 3, 28, 12","3, 35",15,Green,+3 Vizinhos
"0, 3, 28, 12, 15","3, 26",7,Red,Red
"3, 28, 12, 15, 7",3,10,Red,Red
"28, 12, 15, 7, 10",3,30,Red,Red
"12, 15, 7, 10, 30",3,22,Red,Red
"15, 7, 10, 30, 22","3, 7",33,Green,+3 Vizinhos
